District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
Mewat,Taura,Almond(Badam),Almond(Badam),FAQ,5000,7000,6000,7-Aug-22
Shimla,Shimla,Almond(Badam),Almond(Badam),FAQ,6500,8500,7500,26-Jun-21
Shimla,Shimla,Almond(Badam),Almond(Badam),FAQ,4500,6000,5250,16-Jun-20
Shimla,Shimla,Almond(Badam),Almond(Badam),FAQ,4000,4500,4250,29-May-20
Shimla,Shimla,Almond(Badam),Almond(Badam),FAQ,7000,8000,7500,28-May-20
Shimla,Shimla,Almond(Badam),Almond(Badam),FAQ,2500,11000,6750,20-May-20
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,30-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,29-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,28-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,27-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,26-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,25-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,22-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,21-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,20-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,19-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,18-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,16-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,15-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,13-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,12-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,9-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,8-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,7-Dec-23
Mumbai,Mumbai,Almond(Badam),Other,FAQ,64000,82000,73000,6-Dec-23
